sentence_id,text,tags

train-s1,"Gero , lortutako masa molde batean jarri .",ADV PUNCT VERB NOUN NOUN NUM VERB PUNCT

train-s2,"Bestalde , "" herri palestinarrari laguntza tekniko eta ekonomikoa ematen jarraitzeko eta Estatu baketsu eta demokratiko baten ordezkari diren erakunde palestinarrak indartzeko lanean jarraitzeko konpromisoa "" baieztatu zuen EBk .",CCONJ PUNCT PUNCT NOUN ADJ NOUN ADJ CCONJ ADJ VERB VERB CCONJ NOUN ADJ CCONJ ADJ NUM NOUN AUX NOUN ADJ VERB NOUN VERB NOUN PUNCT VERB AUX PROPN PUNCT

train-s3,"Tour hartan bistaratu zitzaizkon lehendabiziko aldiz , mendian zituen benetako zailtasunak .",PROPN DET VERB AUX ADJ NOUN PUNCT NOUN VERB ADJ NOUN PUNCT

train-s4,Nik ere ez eta hasten naiz inketatzen .,PRON CCONJ PART CCONJ VERB AUX VERB PUNCT

train-s5,"Zidane , Henry , Barthez , Deschamps , Blanc eta enparauek Eurokopako talde sendoena osatzen dute aditu gehienentzat .",PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ ADJ PROPN NOUN ADJ VERB AUX NOUN DET PUNCT

train-s6,"Napoliko erregeordea zen Lemosko kondearen idazkari izan zen eta , bere anaia Bartolomek esaten duenez , erre egin zituen bere poemak hiri hartan .",PROPN NOUN AUX PROPN NOUN NOUN AUX AUX CCONJ PUNCT DET NOUN PROPN VERB AUX PUNCT VERB VERB AUX DET NOUN NOUN DET PUNCT

train-s7,"Guk errespetu handia diogu Alavesi , eta espero dugu partidu ona egitea , hiru puntuak irabazteko .",PRON NOUN ADJ AUX PROPN PUNCT CCONJ NOUN VERB NOUN ADJ VERB PUNCT NUM NOUN VERB PUNCT

train-s8,"Beraz , elkarri neurria hartzeko modua ukanen dute .",CCONJ PUNCT PRON NOUN VERB NOUN VERB AUX PUNCT

train-s9,"Urrea kendu egin zioten , laguntza jaso zuelako , baina nor gogoratzen da irabazlearen izenaz ?",NOUN VERB VERB AUX PUNCT NOUN VERB AUX PUNCT CCONJ PRON VERB AUX NOUN NOUN PUNCT

train-s10,Zer egin ?,DET VERB PUNCT

